sequence,category,subgroup,character,unicode,generation_role,template_page,cell_index,cell_id
1,한글,대표 음절,가,U+AC00,초성-세로모음-무받침; 중성-무받침-전형,1,1,P01-C01
2,한글,대표 음절,까,U+AE4C,초성-세로모음-무받침,1,2,P01-C02
3,한글,대표 음절,나,U+B098,초성-세로모음-무받침,1,3,P01-C03
4,한글,대표 음절,다,U+B2E4,초성-세로모음-무받침,1,4,P01-C04
5,한글,대표 음절,따,U+B530,초성-세로모음-무받침,1,5,P01-C05
6,한글,대표 음절,라,U+B77C,초성-세로모음-무받침,1,6,P01-C06
7,한글,대표 음절,마,U+B9C8,초성-세로모음-무받침,1,7,P01-C07
8,한글,대표 음절,바,U+BC14,초성-세로모음-무받침,1,8,P01-C08
9,한글,대표 음절,빠,U+BE60,초성-세로모음-무받침,1,9,P01-C09
10,한글,대표 음절,사,U+C0AC,초성-세로모음-무받침,1,10,P01-C10
11,한글,대표 음절,싸,U+C2F8,초성-세로모음-무받침,1,11,P01-C11
12,한글,대표 음절,아,U+C544,초성-세로모음-무받침,1,12,P01-C12
13,한글,대표 음절,자,U+C790,초성-세로모음-무받침,1,13,P01-C13
14,한글,대표 음절,짜,U+C9DC,초성-세로모음-무받침,1,14,P01-C14
15,한글,대표 음절,차,U+CC28,초성-세로모음-무받침,1,15,P01-C15
16,한글,대표 음절,카,U+CE74,초성-세로모음-무받침,1,16,P01-C16
17,한글,대표 음절,타,U+D0C0,초성-세로모음-무받침,1,17,P01-C17
18,한글,대표 음절,파,U+D30C,초성-세로모음-무받침,1,18,P01-C18
19,한글,대표 음절,하,U+D558,초성-세로모음-무받침,1,19,P01-C19
20,한글,대표 음절,고,U+ACE0,초성-가로모음-무받침; 중성-무받침-전형,1,20,P01-C20
21,한글,대표 음절,꼬,U+AF2C,초성-가로모음-무받침,1,21,P01-C21
22,한글,대표 음절,노,U+B178,초성-가로모음-무받침,1,22,P01-C22
23,한글,대표 음절,도,U+B3C4,초성-가로모음-무받침,1,23,P01-C23
24,한글,대표 음절,또,U+B610,초성-가로모음-무받침,1,24,P01-C24
25,한글,대표 음절,로,U+B85C,초성-가로모음-무받침,1,25,P01-C25
26,한글,대표 음절,모,U+BAA8,초성-가로모음-무받침,1,26,P01-C26
27,한글,대표 음절,보,U+BCF4,초성-가로모음-무받침,1,27,P01-C27
28,한글,대표 음절,뽀,U+BF40,초성-가로모음-무받침,1,28,P01-C28
29,한글,대표 음절,소,U+C18C,초성-가로모음-무받침,1,29,P01-C29
30,한글,대표 음절,쏘,U+C3D8,초성-가로모음-무받침,1,30,P01-C30
31,한글,대표 음절,오,U+C624,초성-가로모음-무받침,1,31,P01-C31
32,한글,대표 음절,조,U+C870,초성-가로모음-무받침,1,32,P01-C32
33,한글,대표 음절,쪼,U+CABC,초성-가로모음-무받침,1,33,P01-C33
34,한글,대표 음절,초,U+CD08,초성-가로모음-무받침,1,34,P01-C34
35,한글,대표 음절,코,U+CF54,초성-가로모음-무받침,1,35,P01-C35
36,한글,대표 음절,토,U+D1A0,초성-가로모음-무받침,2,1,P02-C01
37,한글,대표 음절,포,U+D3EC,초성-가로모음-무받침,2,2,P02-C02
38,한글,대표 음절,호,U+D638,초성-가로모음-무받침,2,3,P02-C03
39,한글,대표 음절,간,U+AC04,초성-세로모음-받침; 종성-세로모음-전형,2,4,P02-C04
40,한글,대표 음절,깐,U+AE50,초성-세로모음-받침,2,5,P02-C05
41,한글,대표 음절,난,U+B09C,초성-세로모음-받침,2,6,P02-C06
42,한글,대표 음절,단,U+B2E8,초성-세로모음-받침,2,7,P02-C07
43,한글,대표 음절,딴,U+B534,초성-세로모음-받침,2,8,P02-C08
44,한글,대표 음절,란,U+B780,초성-세로모음-받침,2,9,P02-C09
45,한글,대표 음절,만,U+B9CC,초성-세로모음-받침; 중성-받침-전형,2,10,P02-C10
46,한글,대표 음절,반,U+BC18,초성-세로모음-받침,2,11,P02-C11
47,한글,대표 음절,빤,U+BE64,초성-세로모음-받침,2,12,P02-C12
48,한글,대표 음절,산,U+C0B0,초성-세로모음-받침,2,13,P02-C13
49,한글,대표 음절,싼,U+C2FC,초성-세로모음-받침,2,14,P02-C14
50,한글,대표 음절,안,U+C548,초성-세로모음-받침,2,15,P02-C15
51,한글,대표 음절,잔,U+C794,초성-세로모음-받침,2,16,P02-C16
52,한글,대표 음절,짠,U+C9E0,초성-세로모음-받침,2,17,P02-C17
53,한글,대표 음절,찬,U+CC2C,초성-세로모음-받침,2,18,P02-C18
54,한글,대표 음절,칸,U+CE78,초성-세로모음-받침,2,19,P02-C19
55,한글,대표 음절,탄,U+D0C4,초성-세로모음-받침,2,20,P02-C20
56,한글,대표 음절,판,U+D310,초성-세로모음-받침,2,21,P02-C21
57,한글,대표 음절,한,U+D55C,초성-세로모음-받침,2,22,P02-C22
58,한글,대표 음절,국,U+AD6D,초성-가로모음-받침,2,23,P02-C23
